id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
1,0,7,627,,,11,11334,0,0,0,0,0.0,0,0,1,2.1,,0,Petr,0.0,48,0,71.9,False,722.4,0,0,0,0,3039,,,50,0,0,1,11334.jpg,3.6,0,90,Cech,1.1,False,1.0,a,1,3,0.0,124,0,0,0,0,0.0,0.0,Cech,1
2,0,0,0,,,0,80201,0,0,0,0,0.0,0,0,1,2.1,,0,Bernd,0.0,0,0,0.0,False,0.0,0,0,0,0,0,,,50,0,0,0,80201.jpg,0.0,0,0,Leno,3.8,False,19.0,a,1,3,0.0,0,0,0,0,0,0.0,0.0,Leno,0
3,0,16,556,0.0,,9,51507,0,0,0,0,123.8,0,0,2,0.0,,0,Laurent,0.0,32,2,95.5,False,692.0,0,0,0,0,2225,Achilles injury - Unknown return date,2018-07-05T14:31:07Z,55,0,0,0,51507.jpg,4.0,0,0,Koscielny,0.3,False,6.0,i,1,3,137.0,100,0,0,0,0,0.0,0.0,Koscielny,4
4,4,11,656,,,12,98745,0,0,0,0,561.0,0,0,2,2.1,,0,Héctor,0.0,44,2,160.1,False,554.0,0,0,0,0,3050,,,55,0,0,0,98745.jpg,3.8,0,0,Bellerín,12.3,False,2.0,a,1,3,484.0,132,0,0,0,0,0.0,0.0,Bellerín,5
5,2,15,604,,,10,38411,0,0,0,0,238.7,0,0,2,2.1,,0,Nacho,0.0,29,5,124.0,False,693.6,0,0,0,0,2241,,,55,0,0,0,38411.jpg,4.6,0,0,Monreal,4.2,False,18.0,a,1,3,305.0,130,0,0,0,0,0.0,0.0,Monreal,3
6,1,1,196,,,3,156074,0,0,0,0,39.3,0,0,2,1.2,,0,Rob,0.0,17,0,27.5,False,212.2,0,0,0,0,819,,,45,0,0,0,156074.jpg,2.3,0,0,Holding,0.7,False,16.0,a,1,3,24.0,27,0,0,0,0,0.0,0.0,Holding,3
7,1,13,610,,,10,69140,0,0,0,0,129.9,0,0,2,2.1,,0,Shkodran,0.0,30,3,117.0,False,836.6,0,0,0,0,2272,,,55,0,0,0,69140.jpg,4.0,0,0,Mustafi,0.9,False,20.0,a,1,3,202.0,109,0,0,0,0,0.0,0.0,Mustafi,6
8,4,6,510,,,10,111457,0,0,0,0,334.9,0,0,2,1.6,,0,Sead,0.0,30,2,118.3,False,443.2,0,0,0,0,2146,,,50,0,0,0,111457.jpg,4.0,0,0,Kolasinac,4.6,False,31.0,a,1,3,404.0,108,0,0,0,0,0.0,0.0,Kolasinac,3
9,0,0,171,,,2,101184,0,0,0,0,40.0,0,0,2,1.2,,0,Calum,0.0,14,0,40.2,False,227.8,0,0,0,0,864,,,45,0,0,0,101184.jpg,1.9,0,0,Chambers,0.6,False,21.0,a,1,3,134.0,23,0,0,0,0,0.0,0.0,Chambers,1
10,0,0,41,,,1,233963,0,0,0,0,1.3,0,0,2,1.6,,0,Konstantinos,0.0,5,0,5.5,False,52.2,0,0,0,0,194,,,50,0,0,0,233963.jpg,1.3,1,0,Mavropanos,0.3,False,27.0,a,1,3,2.0,4,0,0,0,0,0.0,0.0,Mavropanos,0
