player_id,Appearances,Assists,Big Chances Created,Big Chances Missed,Clean Sheets,Goals,Goals Conceded,Goals Per Match,Losses,Own Goals,Penalties Scored,Position,Red Cards,Team,Wins,Yellow Cards,player_id
10483,18,1,1,0,0,2,0,0,12,0,0,Midfielder,0,Newcastle United,3,2,10483
3512,95,8,10,0,16,4,134,0,40,1,0,Defender,0,AFC Bournemouth,29,17,3512
4852,125,0,0,0,35,0,167,0,44,0,0,Goalkeeper,2,West Ham United,45,9,4852
11357,12,1,1,0,0,0,0,12,6,0,0,Midfielder,0,Leicester City,3,3,11357
4040,63,3,2,19,0,10,0,0,28,0,0,Forward,0,Stoke City,19,1,4040
4328,206,35,49,104,0,143,0,0,35,0,22,Forward,1,Manchester City,133,19,4328
10559,3,0,0,0,0,0,0,3,3,0,0,Forward,0,Blackpool,0,0,10559
24695,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,Brighton and Hove Albion,0,0,24695
4499,79,4,5,0,16,6,104,0,32,0,0,Defender,1,AFC Bournemouth,31,10,4499
4482,4,0,0,1,0,0,0,4,2,0,0,Forward,0,Arsenal,2,0,4482
3564,209,32,49,13,0,15,0,0,77,0,0,Midfielder,1,Leicester City,71,27,3564
4916,108,2,2,0,41,6,87,0,21,0,0,Defender,0,Tottenham Hotspur,62,10,4916
12946,4,0,0,0,0,0,0,4,0,0,0,Midfielder,0,Girona,2,0,12946
14732,26,1,3,0,6,1,20,0,4,0,0,Defender,0,Liverpool,15,3,14732
20559,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,0,Liverpool,0,0,20559
13984,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,Liverpool,0,0,13984
4093,89,6,9,0,34,14,83,0,21,0,0,Defender,1,Chelsea,55,15,4093
12306,37,1,0,1,0,1,0,0,15,0,0,Midfielder,1,Leicester City,13,3,12306
15128,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,Stevenage,0,0,15128
19731,1,0,0,0,0,0,1,0,0,0,0,Defender,0,Chelsea,1,0,19731
5490,44,3,5,1,0,0,0,44,23,0,0,Midfielder,1,Watford,12,6,5490
8234,0,0,0,0,0,0,0,0,0,0,0,Defender,0,Doncaster Rovers,0,0,8234
37587,0,0,0,0,0,0,0,0,0,0,0,Forward,0,Brighton and Hove Albion,0,0,37587
10476,5,0,0,0,0,0,0,5,2,0,0,Midfielder,0,Valencia CF,3,2,10476
9595,76,7,8,14,0,20,0,0,28,0,0,Midfielder,1,West Ham United,27,8,9595
3285,319,46,38,0,103,24,250,0,77,0,0,Defender,3,Manchester United,176,50,3285
9199,15,1,2,1,0,0,0,15,13,0,0,Forward,0,Blackburn Rovers,1,1,9199
4823,156,29,40,36,0,33,0,0,63,0,4,Forward,2,West Ham United,51,21,4823
8050,69,4,3,2,0,3,0,0,30,0,0,Midfielder,1,AFC Bournemouth,22,22,8050
4859,33,3,7,3,0,2,0,0,12,0,0,Midfielder,0,Newcastle United,12,1,4859
5110,13,4,1,6,0,10,0,0,6,0,1,Forward,0,Arsenal,7,0,5110
11293,17,2,5,0,6,2,12,0,2,0,0,Defender,1,Tottenham Hotspur,11,1,11293
9468,81,6,6,29,0,32,0,0,42,0,6,Forward,1,Southampton,21,7,9468
15340,0,0,0,0,0,0,0,0,0,0,0,Forward,0,Liverpool,0,0,15340
19606,0,0,0,0,0,0,0,0,0,0,0,Forward,0,Fulham,0,0,19606
10487,106,7,15,12,0,21,0,0,51,0,0,Forward,0,Newcastle United,29,7,10487
4496,197,20,19,0,73,5,184,0,37,3,0,Defender,1,Chelsea,117,18,4496
9762,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,0,Watford,0,0,9762
15687,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,Huddersfield Town,0,0,15687
12937,38,0,0,0,19,1,21,0,5,1,0,Defender,0,Manchester United,24,6,12937
3030,406,53,62,0,113,32,432,0,130,2,0,Defender,0,Everton,159,46,3030
11260,29,2,1,3,0,2,0,0,6,0,0,Midfielder,1,Chelsea,18,3,11260
32435,0,0,0,0,0,0,0,0,0,0,0,Defender,0,West Ham United,0,0,32435
4711,2,0,0,0,0,0,0,2,2,0,0,Forward,0,Brighton and Hove Albion,0,0,4711
20183,0,0,0,0,0,0,0,0,0,0,0,Defender,0,Brighton and Hove Albion,0,0,20183
14623,8,0,0,0,0,0,0,8,2,0,0,Midfielder,0,Everton,2,1,14623
2517,259,4,10,0,54,7,312,0,114,3,0,Defender,2,Burnley,83,62,2517
4115,152,18,26,19,0,21,0,0,49,0,2,Midfielder,0,Chelsea,61,17,4115
13590,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,Crewe Alexandra,0,0,13590
8246,99,4,5,8,0,20,0,0,42,0,2,Forward,2,Burnley,28,20,8246
7450,32,2,0,2,0,7,0,0,6,0,0,Forward,0,Chelsea,22,0,7450
3988,0,0,0,0,0,0,0,0,0,0,0,Defender,0,Wolverhampton Wanderers,0,0,3988
19589,5,0,0,0,1,1,5,0,1,0,0,Defender,0,Southampton,2,1,19589
2537,228,0,0,0,56,0,302,0,91,0,0,Goalkeeper,0,AFC Bournemouth,72,12,2537
4474,124,13,23,0,46,6,126,0,28,0,0,Defender,0,Arsenal,71,17,4474
13490,16,0,0,0,4,0,18,0,5,0,0,Defender,0,Leicester City,8,5,13490
3672,31,2,0,0,0,0,48,0,16,0,0,Defender,1,Cardiff City,7,4,3672
14945,0,0,0,0,0,0,0,0,0,0,0,Forward,0,Wolverhampton Wanderers,0,0,14945
4492,185,18,24,73,0,69,0,0,88,0,10,Forward,2,Crystal Palace,59,30,4492
6210,55,10,8,0,0,3,0,0,23,0,0,Midfielder,0,Burnley,17,3,6210
23591,0,0,0,0,0,0,0,0,0,0,0,Defender,0,Brighton and Hove Albion,0,0,23591
5067,35,4,3,3,0,6,0,0,2,0,0,Midfielder,0,Manchester City,29,0,5067
2886,173,14,22,0,46,5,207,0,68,0,0,Defender,1,Southampton,65,19,2886
10451,37,0,2,0,0,0,0,37,14,0,0,Midfielder,0,Middlesbrough,10,9,10451
4511,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,0,Fulham,0,0,4511
8882,16,0,1,0,0,0,0,16,8,0,0,Midfielder,0,Huddersfield Town,4,3,8882
50245,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,Brighton and Hove Albion,0,0,50245
4888,90,5,8,0,30,4,79,0,19,0,0,Defender,0,Ajax,49,8,4888
10441,1,0,0,0,0,0,0,1,1,0,0,Midfielder,0,Birmingham City,0,0,10441
13468,0,0,0,0,0,0,0,0,0,0,0,Forward,0,Peterborough United,0,0,13468
21820,0,0,0,0,0,0,0,0,0,0,0,Forward,0,Manchester United,0,0,21820
4763,119,17,25,8,0,11,0,0,51,0,0,Forward,1,Everton,38,9,4763
14793,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,Manchester City,0,0,14793
16204,0,0,0,0,0,0,0,0,0,0,0,Defender,0,Wolverhampton Wanderers,0,0,16204
5721,25,0,0,0,6,0,36,0,10,1,0,Defender,0,Brighton and Hove Albion,6,2,5721
4601,116,1,0,0,35,0,168,0,42,0,0,Goalkeeper,0,AFC Bournemouth,41,5,4601
9030,10,0,0,0,0,0,13,0,7,0,0,Defender,1,AFC Bournemouth,1,2,9030
4158,108,9,20,0,0,8,0,0,55,0,2,Midfielder,0,Burnley,29,11,4158
5810,25,0,0,0,6,0,27,0,5,0,0,Goalkeeper,0,Manchester City,15,0,5810
1926,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,0,Cardiff City,0,0,1926
5668,63,2,4,0,13,2,80,0,28,0,0,Defender,3,Watford,23,16,5668
13873,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,West Ham United U21,0,0,13873
4506,7,0,0,0,1,0,5,0,2,0,0,Defender,0,Sunderland,2,1,4506
8162,25,0,0,0,8,0,23,0,8,0,0,Defender,0,Brighton and Hove Albion,7,3,8162
15424,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,0,Barnet,0,0,15424
9982,5,0,0,0,2,0,4,0,3,0,0,Defender,0,Hull City,1,0,9982
3505,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,0,Brighton and Hove Albion,0,0,3505
8945,27,1,1,0,4,0,37,0,13,0,0,Defender,1,West Ham United,8,9,8945
10466,26,0,0,0,8,0,26,0,4,0,0,Goalkeeper,0,Chelsea,16,0,10466
4341,175,15,34,10,0,26,0,0,70,0,4,Midfielder,0,Paris Saint Germain,66,41,4341
2620,347,9,7,0,92,27,417,0,114,2,0,Defender,3,Chelsea,157,37,2620
3894,11,0,0,0,0,1,0,0,5,0,0,Midfielder,0,Fulham,1,1,3894
9576,43,6,6,6,0,5,0,0,18,0,0,Forward,0,Everton,15,5,9576
23820,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,Liverpool,0,0,23820
4556,3,0,0,0,0,0,4,0,1,0,0,Goalkeeper,0,Sunderland,0,1,4556
4254,23,2,4,2,0,3,0,0,5,0,0,Forward,0,Arsenal,9,0,4254
5001,115,6,15,3,0,10,0,0,25,0,0,Midfielder,1,Juventus,61,25,5001
4843,117,2,1,9,0,9,0,0,54,0,0,Midfielder,0,Watford,41,18,4843
9869,1,0,0,0,0,0,0,0,0,0,0,Defender,0,Coventry City,0,0,9869
15989,7,1,0,0,0,0,0,7,3,0,0,Forward,0,Leganés,1,0,15989
3175,199,18,26,43,0,53,0,0,80,0,2,Forward,2,West Ham United,67,30,3175
13814,0,0,0,0,0,0,0,0,0,0,0,Defender,0,Ipswich Town,0,0,13814
3160,87,1,3,0,17,2,126,0,38,2,0,Defender,0,Watford,27,8,3160
5079,0,0,0,0,0,0,0,0,0,0,0,Forward,0,Wolverhampton Wanderers,0,0,5079
4477,129,35,43,8,0,25,0,0,24,0,8,Midfielder,1,Villarreal,78,12,4477
2651,436,2,0,0,201,2,324,0,74,2,0,Goalkeeper,1,Arsenal,275,7,2651
11347,86,8,14,0,21,0,99,0,34,0,0,Defender,0,Southampton,26,13,11347
14575,0,0,0,0,0,0,0,0,0,0,0,Defender,0,Ipswich Town,0,0,14575
4620,94,2,4,0,20,3,103,0,34,1,0,Defender,1,Arsenal,36,14,4620
11147,3,1,1,0,0,0,0,3,2,0,0,Midfielder,0,Chelsea,1,0,11147
4161,131,9,15,39,0,45,0,0,36,0,1,Forward,0,West Ham United,62,11,4161
13491,36,2,5,0,5,1,48,0,14,0,0,Defender,1,Leicester City,12,3,13491
13510,1,0,0,0,0,0,0,1,1,0,0,Midfielder,0,Liverpool,0,0,13510
20858,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,Manchester United,0,0,20858
13248,8,1,1,0,0,0,0,8,5,0,0,Midfielder,0,Leicester City,2,1,13248
